system,basis,label,N,variant,raw_dim,eff_dim,eff_frac,gs_err,s_min,s_max,cond_S,h_min_abs,cond_H,h_reg_min_abs,cond_H_reg,S_singular,H_singular
H2+H2,6-31g,6-31G,3,novel,9,8,0.8888888888888888,0.007189718046991089,3.048975282646525e-11,8.993355209462358,294963204872.4279,1.9983389765407918e-11,2637186908047.9824,1.3812077809852035e-08,3815496451.240909,True,False
H2+H2,6-31g,6-31G,4,uab,4,4,1.0,0.003783612680347659,7.758240136727723e-08,3.9938651282769606,51479008.871740036,1.4425054083956316e-06,16234710.701979892,1.4425054083736098e-06,16234710.702227741,False,False
H2+H2,6-31g,6-31G,4,lanczos,4,4,1.0,0.003738379278413362,0.9999999999999998,1.0000000000000007,1.0000000000000009,0.9444368459103776,6.262991140541838,0.9444368459103777,6.262991140541838,False,False
H2+H2,6-31g,6-31G,4,novel,16,13,0.8125,0.005941037323493603,1.953986019874604e-15,15.977976836551504,8177119321241041.0,2.906220820481102e-15,3.2221219044113748e+16,2.817980007193527e-10,332301781447.14777,True,False
H2+H2,6-31g,6-31G,5,uab,5,5,1.0,0.0018023296559483981,1.0694770480568659e-09,4.988171684090621,4664122239.138872,8.75406646862379e-10,33425967432.441463,8.754060128949696e-10,33425991639.465015,False,False
H2+H2,6-31g,6-31G,5,lanczos,5,5,1.0,0.0017608574122265352,0.9999999999999998,1.0000000000000009,1.000000000000001,0.24485722254246506,24.16500954787229,0.244857222542464,24.1650095478724,False,False
H2+H2,6-31g,6-31G,5,novel,25,14,0.56,0.005832620033420888,-7.607856597364397e-16,24.945263610229425,3.2788819414486936e+16,3.131457224405624e-15,4.669463903362247e+16,3.150354344398817e-11,4641454539957.59,True,True
H2+H2,6-31g,6-31G,6,uab,6,5,0.8333333333333334,0.0018238067960574256,2.0626016634651603e-11,5.9801612059450635,289932918792.39655,1.5312102617181562e-10,229207692129.07654,9.502389989395202e-09,3693441025.3047895,True,False
H2+H2,6-31g,6-31G,6,lanczos,6,6,1.0,0.0005991771802733581,1.0,1.000000000000001,1.000000000000001,0.6870052416646532,8.614401232945658,0.6870052416646519,8.614401232945669,False,False
H2+H2,6-31g,6-31G,6,novel,36,17,0.4722222222222222,0.0057130581396904745,-4.5245562801995276e-15,35.885671276448626,7931312830275174.0,3.675552671550582e-15,5.724221479050332e+16,1.6292304623628756e-10,1291387439402.3281,True,True
H2+H4,sto-3g,STO-3G,1,uab,1,1,1.0,0.06047208061556297,1.0,1.0,1.0,8.934017872893422,1.0,8.934017872893422,1.0,False,False
