system,basis,label,R,N,variant,basis_type,raw_dim,eff_dim,n_discarded,eff_frac,gs_total,E_exact,gs_err,s_min,s_max,cond_S,h_min_abs,h_max_abs,cond_H,h_reg_min_abs,cond_H_reg,n_kept_S,S_singular,H_singular
H2+H4,6-31g,6-31G,1.1,1,novel,lanczos_orthogonal,1,1,0,1.0,-3.2361520785686384,-3.2602343505299505,0.024082271961312074,1.0,1.0,1.0,8.996840594335596,8.996840594335596,1.0,8.996840594335596,1.0,1,False,False
H2+H4,6-31g,6-31G,1.1,2,hybrid,lanczos_orthogonal,6,6,0,1.0,-3.2595299354311766,-3.2602343505299505,0.0007044150987738362,0.9999999999999942,1.000000000000006,1.0000000000000118,6.0787286700955825,9.020218451198135,1.4838988447655619,6.078728670095585,1.4838988447655606,6,False,False
H2+H4,6-31g,6-31G,1.1,2,joint,lanczos_orthogonal,2,2,0,1.0,-3.2574729157147253,-3.2602343505299505,0.002761434815225172,0.9999999999999997,1.0,1.0000000000000004,7.423411727003293,9.01816143148168,1.2148270583830543,7.423411727003293,1.2148270583830543,2,False,False
H2+H4,6-31g,6-31G,1.1,2,novel,lanczos_orthogonal,4,4,0,1.0,-3.2581814634985395,-3.2602343505299505,0.0020528870314109327,0.9999999999999962,1.0000000000000042,1.000000000000008,7.267620967743751,9.018869979265494,1.2409659253412362,7.267620967743751,1.240965925341237,4,False,False
H2+H4,6-31g,6-31G,1.1,3,hybrid,lanczos_orthogonal,12,12,0,1.0,-3.259723176774182,-3.2602343505299505,0.0005111737557683682,0.999999999999382,1.0000000000006213,1.0000000000012392,5.25711652393487,9.02041169254114,1.715847775386478,5.257116523934845,1.715847775386486,12,False,False
H2+H4,6-31g,6-31G,1.1,3,joint,lanczos_orthogonal,3,3,0,1.0,-3.2594880506971347,-3.2602343505299505,0.0007462998328158221,0.9999999999999997,1.0000000000000002,1.0000000000000007,6.772639432258965,9.020176566464091,1.3318554245631051,6.7726394322589645,1.331855424563105,3,False,False
H2+H4,6-31g,6-31G,1.1,3,novel,lanczos_orthogonal,9,9,0,1.0,-3.259590655988566,-3.2602343505299505,0.0006436945413845763,0.9999999999994479,1.0000000000005536,1.0000000000011058,5.938150099960049,9.020279171755533,1.5190385928129737,5.938150099959992,1.5190385928129864,9,False,False
H2+H4,6-31g,6-31G,1.1,4,hybrid,lanczos_orthogonal,20,20,0,1.0,-3.2597826539061945,-3.2602343505299505,0.00045169662375599273,0.9999999999523591,1.0000000000476152,1.0000000000952562,4.610581195204171,9.020471169673097,1.956471600382182,4.61058119520416,1.9564716003821854,20,False,False
H2+H4,6-31g,6-31G,1.1,4,joint,lanczos_orthogonal,4,4,0,1.0,-3.2600059535488732,-3.2602343505299505,0.00022839698107723905,0.9999999999999996,1.0000000000000007,1.000000000000001,6.019958501669874,9.020694469315833,1.4984645603144253,6.019958501669877,1.4984645603144249,4,False,False
H2+H4,6-31g,6-31G,1.1,4,novel,lanczos_orthogonal,16,16,0,1.0,-3.259744822912859,-3.2602343505299505,0.0004895276170913121,0.9999999999542141,1.0000000000457596,1.0000000000915457,4.694053154516627,9.020433338679789,1.921672601853754,4.69405315451662,1.921672601853755,16,False,False
H2+H4,6-31g,6-31G,1.1,5,hybrid,lanczos_orthogonal,30,30,0,1.0,-3.259899236810119,-3.2602343505299505,0.0003351137198315257,0.9999999887069753,1.0000000112930085,1.0000000225860335,3.9995628007327557,9.020587752599326,2.255393452240998,3.9995628007327326,2.255393452241012,30,False,False
H2+H4,6-31g,6-31G,1.1,5,joint,lanczos_orthogonal,5,5,0,1.0,-3.26016721277591,-3.2602343505299505,6.713775404065814e-05,0.9999999999999984,1.0000000000000007,1.0000000000000022,5.353980127418449,9.020855728542868,1.6848877870027679,5.353980127418447,1.6848877870027674,5,False,False
H2+H4,6-31g,6-31G,1.1,5,novel,lanczos_orthogonal,25,25,0,1.0,-3.259823954532644,-3.2602343505299505,0.000410395997306523,0.999999988718491,1.0000000112814904,1.0000000225629997,4.031200537774912,9.02051247032189,2.2376739598523945,4.0312005377749145,2.237673959852393,25,False,False
H2+H4,6-31g,6-31G,1.1,6,hybrid,lanczos_orthogonal,42,42,0,1.0,-3.26000936522796,-3.2602343505299505,0.00022498530199044353,0.9999995734722047,1.0000004265272349,1.000000853055394,3.9142657188589736,9.020697881262292,2.30456962535795,3.914265718858963,2.304569625357957,42,False,False
H2+H4,6-31g,6-31G,1.1,6,joint,lanczos_orthogonal,6,6,0,1.0,-3.26021290950197,-3.2602343505299505,2.1441027980628746e-05,0.9999999999999986,1.0000000000000004,1.000000000000002,4.611313932089388,9.020901425268933,1.9562540217645863,4.61131393208939,1.9562540217645858,6,False,False
H2+H4,6-31g,6-31G,1.1,6,novel,lanczos_orthogonal,36,36,0,1.0,-3.2599570194032914,-3.2602343505299505,0.0002773311266590639,0.9999995744606262,1.000000425538813,1.0000008510785492,3.9256263240620504,9.02064553550532,2.297886958881809,3.925626324062044,2.297886958881816,36,False,False
