system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_ref,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000,dropped
H2+H2,6-31g,6-31G,6,cross_product,36,26,-2.3033654641791093,-2.3033654642197887,-2.303365464219786,4.0676795265426335e-11,4.0679459800685436e-11,4.0676795265426335e-11,4.0679459800685436e-11,10
H2+H2,6-31g,6-31G,6,joint,6,6,-2.3033463362391204,-2.3033654642197887,-2.303365464219786,1.9127980665611943e-05,1.912798066827648e-05,1.9127980665611943e-05,1.912798066827648e-05,0
H2+H2,6-31g,6-31G,6,cp_lanczos,36,36,-2.303365464219784,-2.3033654642197887,-2.3033654642197816,-2.220446049250313e-15,4.884981308350689e-15,2.220446049250313e-15,4.884981308350689e-15,0
H2+H2,6-31g,6-31G,7,cross_product,49,31,-2.303365464218025,-2.3033654642197887,-2.3033654642197807,1.7559287357471476e-12,1.7639223415244487e-12,1.7559287357471476e-12,1.7639223415244487e-12,18
H2+H2,6-31g,6-31G,7,joint,7,7,-2.3033599833639697,-2.3033654642197887,-2.3033654642197807,5.48085581097979e-06,5.480855818973396e-06,5.48085581097979e-06,5.480855818973396e-06,0
H2+H2,6-31g,6-31G,7,cp_lanczos,36,36,-2.303365464219784,-2.3033654642197887,-2.3033654642197816,-2.220446049250313e-15,4.884981308350689e-15,2.220446049250313e-15,4.884981308350689e-15,0
H2+H2,6-31g,6-31G,8,cross_product,64,33,-2.3033654642194783,-2.3033654642197887,-2.3033654642197816,3.0331293032759277e-13,3.1041835768519377e-13,3.0331293032759277e-13,3.1041835768519377e-13,31
H2+H2,6-31g,6-31G,8,joint,8,8,-2.3033652789362438,-2.3033654642197887,-2.3033654642197816,1.8528353784574847e-07,1.8528354495117583e-07,1.8528353784574847e-07,1.8528354495117583e-07,0
H2+H2,6-31g,6-31G,8,cp_lanczos,36,36,-2.303365464219784,-2.3033654642197887,-2.3033654642197816,-2.220446049250313e-15,4.884981308350689e-15,2.220446049250313e-15,4.884981308350689e-15,0
H2+H4,6-31g,6-31G,1,cross_product,1,1,-3.273220584352661,-3.351233028637032,-3.273220584352661,0.0,0.07801244428437082,0.0,0.07801244428437082,0
H2+H4,6-31g,6-31G,1,joint,1,1,-3.273220584352661,-3.351233028637032,-3.273220584352661,0.0,0.07801244428437082,0.0,0.07801244428437082,0
H2+H4,6-31g,6-31G,1,cp_lanczos,1,1,-3.273220584352661,-3.351233028637032,-3.273220584352661,0.0,0.07801244428437082,0.0,0.07801244428437082,0
H2+H4,6-31g,6-31G,2,cross_product,4,4,-3.337946977059358,-3.351233028637032,-3.3379469770593526,-5.329070518200751e-15,0.01328605157767404,5.329070518200751e-15,0.01328605157767404,0
H2+H4,6-31g,6-31G,2,joint,2,2,-3.3369993586374265,-3.351233028637032,-3.3379469770593526,0.0009476184219261441,0.014233669999605514,0.0009476184219261441,0.014233669999605514,0
H2+H4,6-31g,6-31G,2,cp_lanczos,4,4,-3.338937513648848,-3.351233028637032,-3.3389375136488475,-4.440892098500626e-16,0.012295514988184042,4.440892098500626e-16,0.012295514988184042,0
H2+H4,6-31g,6-31G,3,cross_product,9,9,-3.347551539549353,-3.351233028637032,-3.3475515395493716,1.865174681370263e-14,0.0036814890876790685,1.865174681370263e-14,0.0036814890876790685,0
H2+H4,6-31g,6-31G,3,joint,3,3,-3.3465441943711576,-3.351233028637032,-3.3475515395493716,0.001007345178213992,0.004688834265874409,0.001007345178213992,0.004688834265874409,0
H2+H4,6-31g,6-31G,3,cp_lanczos,9,9,-3.3479982900635137,-3.351233028637032,-3.3479982900635123,-1.3322676295501878e-15,0.003234738573518303,1.3322676295501878e-15,0.003234738573518303,0
H2+H4,6-31g,6-31G,4,cross_product,16,16,-3.3498491465326854,-3.351233028637032,-3.3498491465299587,-2.7267077484793845e-12,0.0013838821043465899,2.7267077484793845e-12,0.0013838821043465899,0
H2+H4,6-31g,6-31G,4,joint,4,4,-3.349372289500386,-3.351233028637032,-3.3498491465299587,0.0004768570295725638,0.0018607391366458614,0.0004768570295725638,0.0018607391366458614,0
H2+H4,6-31g,6-31G,4,cp_lanczos,16,16,-3.3501305057691733,-3.351233028637032,-3.350130505769173,-4.440892098500626e-16,0.001102522867858724,4.440892098500626e-16,0.001102522867858724,0
